ID,Size,Maze Type,Orientation,Agent Type,Symmetry,Density,Dead Ends,Solution Path Length,Average Episodes
11x25_DFS_3,"(11, 25)",DFS,Vertical,Q-Determinative,0.11,0.57,7,66,316
11x25_DFS_3,"(11, 25)",DFS,Vertical,Q-Student,0.11,0.57,7,66,211
11x25_DFS_3,"(11, 25)",DFS,Vertical,Q-Explorer,0.11,0.57,7,66,557
11x27_AB_1,"(11, 27)",AldousBroder,Vertical,Q-Determinative,0.11,0.57,18,28,112
11x27_AB_1,"(11, 27)",AldousBroder,Vertical,Q-Student,0.11,0.57,18,28,39
11x27_AB_1,"(11, 27)",AldousBroder,Vertical,Q-Explorer,0.11,0.57,18,28,220
11x27_AB_2,"(11, 27)",AldousBroder,Vertical,Q-Determinative,0.11,0.57,19,34,152
11x27_AB_2,"(11, 27)",AldousBroder,Vertical,Q-Student,0.11,0.57,19,34,60
11x27_AB_2,"(11, 27)",AldousBroder,Vertical,Q-Explorer,0.11,0.57,19,34,248
11x27_AB_3,"(11, 27)",AldousBroder,Vertical,Q-Determinative,0.11,0.57,24,14,33
11x27_AB_3,"(11, 27)",AldousBroder,Vertical,Q-Student,0.11,0.57,24,14,15
11x27_AB_3,"(11, 27)",AldousBroder,Vertical,Q-Explorer,0.11,0.57,24,14,83
11x27_BT_1,"(11, 27)",BinaryTree,Vertical,Q-Determinative,0.11,0.57,20,16,51
11x27_BT_1,"(11, 27)",BinaryTree,Vertical,Q-Student,0.11,0.57,20,16,23
11x27_BT_1,"(11, 27)",BinaryTree,Vertical,Q-Explorer,0.11,0.57,20,16,100
11x27_BT_2,"(11, 27)",BinaryTree,Vertical,Q-Determinative,0.11,0.57,17,12,32
11x27_BT_2,"(11, 27)",BinaryTree,Vertical,Q-Student,0.11,0.57,17,12,19
11x27_BT_2,"(11, 27)",BinaryTree,Vertical,Q-Explorer,0.11,0.57,17,12,72
11x27_BT_3,"(11, 27)",BinaryTree,Vertical,Q-Determinative,0.2,0.57,16,18,51
11x27_BT_3,"(11, 27)",BinaryTree,Vertical,Q-Student,0.2,0.57,16,18,24
11x27_BT_3,"(11, 27)",BinaryTree,Vertical,Q-Explorer,0.2,0.57,16,18,118
11x27_DFS_1,"(11, 27)",DFS,Vertical,Q-Determinative,0.11,0.57,9,70,349
11x27_DFS_1,"(11, 27)",DFS,Vertical,Q-Student,0.11,0.57,9,70,489
11x27_DFS_1,"(11, 27)",DFS,Vertical,Q-Explorer,0.11,0.57,9,70,801
11x27_DFS_2,"(11, 27)",DFS,Vertical,Q-Determinative,0.11,0.57,9,66,466
11x27_DFS_2,"(11, 27)",DFS,Vertical,Q-Student,0.11,0.57,9,66,170
11x27_DFS_2,"(11, 27)",DFS,Vertical,Q-Explorer,0.11,0.57,9,66,579
11x27_DFS_3,"(11, 27)",DFS,Vertical,Q-Determinative,0.11,0.57,11,48,245
